job_no,job_type_prediction
Id-629,"Pharmaceutical, Healthcare and Medical Sales"
Id-630,Clinical Research
Id-631,"Pharmaceutical, Healthcare and Medical Sales"
Id-636,Clinical Research
Id-637,Clinical Research
Id-638,Manufacturing & Operations
Id-652,"Pharmaceutical, Healthcare and Medical Sales"
Id-654,Clinical Research
Id-657,Clinical Research
Id-659,"Pharmaceutical, Healthcare and Medical Sales"
Id-661,"Pharmaceutical, Healthcare and Medical Sales"
Id-663,"Pharmaceutical, Healthcare and Medical Sales"
Id-664,"Pharmaceutical, Healthcare and Medical Sales"
Id-667,"Pharmaceutical, Healthcare and Medical Sales"
Id-668,Clinical Research
Id-669,Clinical Research
Id-671,"Pharmaceutical, Healthcare and Medical Sales"
Id-676,"Pharmaceutical, Healthcare and Medical Sales"
Id-677,"Pharmaceutical, Healthcare and Medical Sales"
Id-679,Clinical Research
Id-680,"Pharmaceutical, Healthcare and Medical Sales"
Id-682,Clinical Research
Id-695,Science
Id-699,"Pharmaceutical, Healthcare and Medical Sales"
Id-700,Science
Id-701,"Pharmaceutical, Healthcare and Medical Sales"
Id-703,Clinical Research
Id-704,Clinical Research
Id-706,Science
Id-707,Clinical Research
Id-719,Clinical Research
Id-722,Clinical Research
Id-727,Clinical Research
Id-728,Clinical Research
Id-730,"Pharmaceutical, Healthcare and Medical Sales"
Id-731,"Pharmaceutical, Healthcare and Medical Sales"
Id-733,"Pharmaceutical, Healthcare and Medical Sales"
Id-735,Clinical Research
Id-738,Clinical Research
Id-740,"Pharmaceutical, Healthcare and Medical Sales"
Id-741,Clinical Research
Id-742,Clinical Research
Id-743,Science
Id-748,"Pharmaceutical, Healthcare and Medical Sales"
Id-749,"Pharmaceutical, Healthcare and Medical Sales"
Id-750,"Pharmaceutical, Healthcare and Medical Sales"
Id-751,"Pharmaceutical, Healthcare and Medical Sales"
Id-756,"Pharmaceutical, Healthcare and Medical Sales"
Id-757,"Pharmaceutical, Healthcare and Medical Sales"
Id-762,"Pharmaceutical, Healthcare and Medical Sales"
Id-772,"Pharmaceutical, Healthcare and Medical Sales"
Id-774,Science
Id-775,Clinical Research
Id-777,"Pharmaceutical, Healthcare and Medical Sales"
Id-779,"Pharmaceutical, Healthcare and Medical Sales"
Id-781,"Pharmaceutical, Healthcare and Medical Sales"
Id-782,Clinical Research
Id-783,Clinical Research
Id-790,Clinical Research
Id-792,Medical Information and Pharmacovigilance
Id-798,Clinical Research
Id-800,Clinical Research
Id-801,"Pharmaceutical, Healthcare and Medical Sales"
Id-804,Clinical Research
Id-805,Science
Id-809,Clinical Research
Id-810,"Pharmaceutical, Healthcare and Medical Sales"
Id-811,Clinical Research
Id-812,"Pharmaceutical, Healthcare and Medical Sales"
Id-814,"Pharmaceutical, Healthcare and Medical Sales"
Id-815,Science
Id-817,Clinical Research
Id-825,"Pharmaceutical, Healthcare and Medical Sales"
Id-834,Science
Id-835,Manufacturing & Operations
Id-836,Science
Id-840,"Pharmaceutical, Healthcare and Medical Sales"
Id-844,"Pharmaceutical, Healthcare and Medical Sales"
Id-848,Manufacturing & Operations
Id-850,Medical Information and Pharmacovigilance
Id-853,Clinical Research
Id-859,"Pharmaceutical, Healthcare and Medical Sales"
Id-860,"Pharmaceutical, Healthcare and Medical Sales"
Id-861,Manufacturing & Operations
Id-863,Clinical Research
Id-864,Clinical Research
Id-867,"Pharmaceutical, Healthcare and Medical Sales"
Id-869,Clinical Research
Id-871,Clinical Research
Id-873,"Pharmaceutical, Healthcare and Medical Sales"
Id-874,Clinical Research
Id-879,"Pharmaceutical, Healthcare and Medical Sales"
Id-885,"Pharmaceutical, Healthcare and Medical Sales"
Id-887,Clinical Research
Id-888,Clinical Research
Id-894,"Pharmaceutical, Healthcare and Medical Sales"
Id-896,"Pharmaceutical, Healthcare and Medical Sales"
Id-900,Science
Id-904,"Pharmaceutical, Healthcare and Medical Sales"
Id-906,"Pharmaceutical, Healthcare and Medical Sales"
Id-907,Medical Information and Pharmacovigilance
Id-908,"Pharmaceutical, Healthcare and Medical Sales"
Id-910,Manufacturing & Operations
Id-911,"Pharmaceutical, Healthcare and Medical Sales"
Id-917,Science
Id-921,"Pharmaceutical, Healthcare and Medical Sales"
Id-923,Clinical Research
Id-924,Clinical Research
Id-926,Clinical Research
Id-929,Science
Id-932,Clinical Research
Id-933,Medical Information and Pharmacovigilance
Id-935,"Pharmaceutical, Healthcare and Medical Sales"
Id-936,Clinical Research
Id-937,Manufacturing & Operations
Id-938,Manufacturing & Operations
Id-940,"Pharmaceutical, Healthcare and Medical Sales"
Id-945,Clinical Research
Id-946,Medical Information and Pharmacovigilance
Id-948,Science
Id-952,Science
Id-954,Clinical Research
Id-956,Science
Id-964,"Pharmaceutical, Healthcare and Medical Sales"
Id-965,Clinical Research
Id-973,"Pharmaceutical, Healthcare and Medical Sales"
Id-977,Clinical Research
Id-982,Science
Id-983,"Pharmaceutical, Healthcare and Medical Sales"
Id-987,Clinical Research
Id-990,Science
Id-991,"Pharmaceutical, Healthcare and Medical Sales"
Id-993,Science
Id-994,Science
Id-996,"Pharmaceutical, Healthcare and Medical Sales"
Id-997,"Pharmaceutical, Healthcare and Medical Sales"
Id-998,Clinical Research
Id-1004,"Pharmaceutical, Healthcare and Medical Sales"
Id-1006,"Pharmaceutical, Healthcare and Medical Sales"
Id-1009,"Pharmaceutical, Healthcare and Medical Sales"
Id-1015,"Pharmaceutical, Healthcare and Medical Sales"
Id-1016,Science
Id-1020,Clinical Research
Id-1021,Science
Id-1022,Clinical Research
Id-1023,Clinical Research
Id-1024,Science
Id-1027,Science
Id-1028,Science
Id-1029,Clinical Research
Id-1030,Clinical Research
Id-1036,"Pharmaceutical, Healthcare and Medical Sales"
Id-1039,Clinical Research
Id-1040,Clinical Research
Id-1042,"Pharmaceutical, Healthcare and Medical Sales"
Id-1043,"Pharmaceutical, Healthcare and Medical Sales"
Id-1045,"Pharmaceutical, Healthcare and Medical Sales"
Id-1048,Clinical Research
Id-1051,"Pharmaceutical, Healthcare and Medical Sales"
Id-1052,Clinical Research
Id-1053,Clinical Research
Id-1056,Clinical Research
Id-1064,Clinical Research
Id-1066,Clinical Research
Id-1074,"Pharmaceutical, Healthcare and Medical Sales"
Id-1075,Clinical Research
Id-1077,Manufacturing & Operations
Id-1078,"Pharmaceutical, Healthcare and Medical Sales"
Id-1080,"Pharmaceutical, Healthcare and Medical Sales"
Id-1083,"Pharmaceutical, Healthcare and Medical Sales"
Id-1086,Clinical Research
Id-1087,Clinical Research
Id-1092,"Pharmaceutical, Healthcare and Medical Sales"
Id-1098,"Pharmaceutical, Healthcare and Medical Sales"
Id-1101,Clinical Research
Id-1103,Clinical Research
Id-1106,"Pharmaceutical, Healthcare and Medical Sales"
Id-1107,Clinical Research
Id-1108,"Pharmaceutical, Healthcare and Medical Sales"
Id-1110,Clinical Research
Id-1111,"Pharmaceutical, Healthcare and Medical Sales"
Id-1113,"Pharmaceutical, Healthcare and Medical Sales"
Id-1121,"Pharmaceutical, Healthcare and Medical Sales"
Id-1123,Clinical Research
Id-1124,"Pharmaceutical, Healthcare and Medical Sales"
Id-1125,Science
Id-1126,"Pharmaceutical, Healthcare and Medical Sales"
Id-1136,Clinical Research
Id-1138,"Pharmaceutical, Healthcare and Medical Sales"
Id-1142,Clinical Research
Id-1144,"Pharmaceutical, Healthcare and Medical Sales"
Id-1146,Science
Id-1149,"Pharmaceutical, Healthcare and Medical Sales"
Id-1152,Clinical Research
Id-1157,"Pharmaceutical, Healthcare and Medical Sales"
Id-1160,Clinical Research
Id-1162,Clinical Research
Id-1172,Science
Id-1173,Clinical Research
Id-1174,Science
Id-1175,Clinical Research
Id-1176,Clinical Research
Id-1177,Clinical Research
Id-1178,Science
Id-1179,Clinical Research
Id-1181,Clinical Research
Id-1182,"Pharmaceutical, Healthcare and Medical Sales"
Id-1186,"Pharmaceutical, Healthcare and Medical Sales"
Id-1187,Clinical Research
Id-1189,"Pharmaceutical, Healthcare and Medical Sales"
Id-1193,"Pharmaceutical, Healthcare and Medical Sales"
Id-1195,"Pharmaceutical, Healthcare and Medical Sales"
Id-1197,Clinical Research
Id-1200,Clinical Research
Id-1203,"Pharmaceutical, Healthcare and Medical Sales"
Id-1206,Clinical Research
Id-1208,Clinical Research
Id-1209,Clinical Research
Id-1211,Science
Id-1213,Clinical Research
Id-1216,Clinical Research
Id-1223,Manufacturing & Operations
Id-1226,"Pharmaceutical, Healthcare and Medical Sales"
Id-1228,"Pharmaceutical, Healthcare and Medical Sales"
Id-1229,"Pharmaceutical, Healthcare and Medical Sales"
Id-1230,Clinical Research
Id-1235,Clinical Research
Id-1239,Clinical Research
Id-1243,"Pharmaceutical, Healthcare and Medical Sales"
Id-1244,Science
Id-1246,Clinical Research
Id-1247,Clinical Research
Id-1249,Clinical Research
Id-1250,"Pharmaceutical, Healthcare and Medical Sales"
Id-1251,Science
Id-1252,Clinical Research
Id-1254,Clinical Research
Id-1258,Science
Id-1259,Clinical Research
Id-1261,Clinical Research
Id-1270,Clinical Research
Id-1271,Science
Id-1274,Clinical Research
Id-1277,"Pharmaceutical, Healthcare and Medical Sales"
Id-1280,"Pharmaceutical, Healthcare and Medical Sales"
Id-1288,"Pharmaceutical, Healthcare and Medical Sales"
Id-1290,Clinical Research
Id-1295,Medical Information and Pharmacovigilance
Id-1300,Clinical Research
Id-1302,"Pharmaceutical, Healthcare and Medical Sales"
Id-1303,Clinical Research
Id-1306,"Pharmaceutical, Healthcare and Medical Sales"
Id-1307,Clinical Research
Id-1308,Clinical Research
Id-1311,"Pharmaceutical, Healthcare and Medical Sales"
Id-1317,Manufacturing & Operations
Id-1318,Clinical Research
Id-1319,"Pharmaceutical, Healthcare and Medical Sales"
Id-1325,Clinical Research
Id-1327,Clinical Research
Id-1328,Science
Id-1331,Clinical Research
Id-1332,Clinical Research
Id-1342,Science
Id-1343,"Pharmaceutical, Healthcare and Medical Sales"
Id-1345,"Pharmaceutical, Healthcare and Medical Sales"
Id-1347,"Pharmaceutical, Healthcare and Medical Sales"
Id-1348,"Pharmaceutical, Healthcare and Medical Sales"
Id-1353,"Pharmaceutical, Healthcare and Medical Sales"
Id-1355,"Pharmaceutical, Healthcare and Medical Sales"
Id-1362,"Pharmaceutical, Healthcare and Medical Sales"
Id-1365,"Pharmaceutical, Healthcare and Medical Sales"
Id-1366,Science
Id-1367,"Pharmaceutical, Healthcare and Medical Sales"
Id-1368,Clinical Research
Id-1370,"Pharmaceutical, Healthcare and Medical Sales"
Id-1373,"Pharmaceutical, Healthcare and Medical Sales"
Id-1376,"Pharmaceutical, Healthcare and Medical Sales"
Id-1377,Clinical Research
Id-1378,Clinical Research
Id-1380,Clinical Research
Id-1381,Clinical Research
Id-1382,Clinical Research
Id-1385,Clinical Research
Id-1386,Clinical Research
Id-1388,"Pharmaceutical, Healthcare and Medical Sales"
Id-1390,Science
Id-1391,"Pharmaceutical, Healthcare and Medical Sales"
Id-1393,"Pharmaceutical, Healthcare and Medical Sales"
Id-1396,Science
Id-1397,"Pharmaceutical, Healthcare and Medical Sales"
Id-1398,Clinical Research
Id-1401,Clinical Research
Id-1403,Clinical Research
Id-1405,"Pharmaceutical, Healthcare and Medical Sales"
Id-1407,Clinical Research
Id-1408,Clinical Research
Id-1412,Clinical Research
Id-1413,"Pharmaceutical, Healthcare and Medical Sales"
Id-1415,Clinical Research
Id-1418,Manufacturing & Operations
Id-1420,"Pharmaceutical, Healthcare and Medical Sales"
Id-1421,Clinical Research
Id-1422,"Pharmaceutical, Healthcare and Medical Sales"
Id-1426,Clinical Research
Id-1427,"Pharmaceutical, Healthcare and Medical Sales"
Id-1429,Manufacturing & Operations
Id-1430,Clinical Research
Id-1431,Clinical Research
Id-1433,Clinical Research
Id-1435,Science
Id-1437,"Pharmaceutical, Healthcare and Medical Sales"
Id-1438,Clinical Research
Id-1448,Clinical Research
Id-1449,"Pharmaceutical, Healthcare and Medical Sales"
Id-1450,Clinical Research
Id-1451,"Pharmaceutical, Healthcare and Medical Sales"
Id-1453,Clinical Research
Id-1456,Clinical Research
Id-1458,"Pharmaceutical, Healthcare and Medical Sales"
Id-1460,Clinical Research
Id-1461,Clinical Research
Id-1470,Science
Id-1476,"Pharmaceutical, Healthcare and Medical Sales"
Id-1477,Clinical Research
Id-1479,"Pharmaceutical, Healthcare and Medical Sales"
Id-1484,Manufacturing & Operations
Id-1485,"Pharmaceutical, Healthcare and Medical Sales"
Id-1487,"Pharmaceutical, Healthcare and Medical Sales"
Id-1488,Clinical Research
Id-1489,Clinical Research
Id-1491,Science
Id-1492,"Pharmaceutical, Healthcare and Medical Sales"
Id-1493,Clinical Research
Id-1497,Science
Id-1500,Science
Id-1503,Science
Id-1504,Science
Id-1505,Science
Id-1509,Clinical Research
Id-1510,Clinical Research
Id-1512,"Pharmaceutical, Healthcare and Medical Sales"
Id-1513,"Pharmaceutical, Healthcare and Medical Sales"
Id-1515,Clinical Research
Id-1517,"Pharmaceutical, Healthcare and Medical Sales"
Id-1519,Clinical Research
Id-1520,Clinical Research
Id-1523,Manufacturing & Operations
Id-1526,"Pharmaceutical, Healthcare and Medical Sales"
Id-1528,"Pharmaceutical, Healthcare and Medical Sales"
Id-1531,"Pharmaceutical, Healthcare and Medical Sales"
Id-1534,"Pharmaceutical, Healthcare and Medical Sales"
Id-1535,Manufacturing & Operations
Id-1537,Clinical Research
Id-1539,Science
Id-1543,"Pharmaceutical, Healthcare and Medical Sales"
Id-1545,Clinical Research
Id-1546,"Pharmaceutical, Healthcare and Medical Sales"
Id-1548,"Pharmaceutical, Healthcare and Medical Sales"
Id-1549,Clinical Research
Id-1551,Clinical Research
Id-1558,"Pharmaceutical, Healthcare and Medical Sales"
Id-1560,Manufacturing & Operations
Id-1562,"Pharmaceutical, Healthcare and Medical Sales"
Id-1566,"Pharmaceutical, Healthcare and Medical Sales"
Id-1568,Clinical Research
Id-1571,Clinical Research
Id-1574,"Pharmaceutical, Healthcare and Medical Sales"
Id-1575,"Pharmaceutical, Healthcare and Medical Sales"
Id-1578,Clinical Research
Id-1580,"Pharmaceutical, Healthcare and Medical Sales"
Id-1582,"Pharmaceutical, Healthcare and Medical Sales"
Id-1583,"Pharmaceutical, Healthcare and Medical Sales"
Id-1585,"Pharmaceutical, Healthcare and Medical Sales"
Id-1587,Clinical Research
Id-1588,Medical Information and Pharmacovigilance
Id-1591,Clinical Research
Id-1592,"Pharmaceutical, Healthcare and Medical Sales"
Id-1594,"Pharmaceutical, Healthcare and Medical Sales"
Id-1595,Clinical Research
Id-1596,"Pharmaceutical, Healthcare and Medical Sales"
Id-1604,Clinical Research
Id-1608,Clinical Research
Id-1610,Clinical Research
Id-1612,Clinical Research
Id-1613,"Pharmaceutical, Healthcare and Medical Sales"
Id-1616,Science
Id-1617,"Pharmaceutical, Healthcare and Medical Sales"
Id-1618,Clinical Research
Id-1622,Science
Id-1623,Clinical Research
Id-1626,"Pharmaceutical, Healthcare and Medical Sales"
Id-1627,Clinical Research
Id-1628,"Pharmaceutical, Healthcare and Medical Sales"
Id-1634,Clinical Research
Id-1639,Clinical Research
Id-1640,"Pharmaceutical, Healthcare and Medical Sales"
Id-1641,Clinical Research
Id-1643,Clinical Research
Id-1644,"Pharmaceutical, Healthcare and Medical Sales"
Id-1646,"Pharmaceutical, Healthcare and Medical Sales"
Id-1649,Science
Id-1652,Clinical Research
Id-1655,"Pharmaceutical, Healthcare and Medical Sales"
Id-1656,"Pharmaceutical, Healthcare and Medical Sales"
Id-1657,Science
Id-1658,Clinical Research
Id-1659,"Pharmaceutical, Healthcare and Medical Sales"
Id-1661,Science
Id-1664,Manufacturing & Operations
Id-1665,"Pharmaceutical, Healthcare and Medical Sales"
Id-1672,"Pharmaceutical, Healthcare and Medical Sales"
Id-1676,"Pharmaceutical, Healthcare and Medical Sales"
Id-1678,"Pharmaceutical, Healthcare and Medical Sales"
Id-1681,Clinical Research
Id-1684,Clinical Research
Id-1685,"Pharmaceutical, Healthcare and Medical Sales"
Id-1687,Clinical Research
Id-1688,"Pharmaceutical, Healthcare and Medical Sales"
Id-1690,Science
Id-1696,Clinical Research
Id-1699,"Pharmaceutical, Healthcare and Medical Sales"
Id-1702,"Pharmaceutical, Healthcare and Medical Sales"
Id-1705,"Pharmaceutical, Healthcare and Medical Sales"
Id-1706,"Pharmaceutical, Healthcare and Medical Sales"
Id-1711,Clinical Research
Id-1712,Clinical Research
Id-1713,Science
Id-1715,Science
Id-1716,"Pharmaceutical, Healthcare and Medical Sales"
Id-1720,"Pharmaceutical, Healthcare and Medical Sales"
Id-1721,Clinical Research
Id-1723,Clinical Research
Id-1724,Science
Id-1725,Clinical Research
Id-1727,Clinical Research
Id-1728,Clinical Research
Id-1729,Clinical Research
Id-1730,Clinical Research
Id-1732,"Pharmaceutical, Healthcare and Medical Sales"
Id-1733,"Pharmaceutical, Healthcare and Medical Sales"
Id-1737,"Pharmaceutical, Healthcare and Medical Sales"
Id-1738,"Pharmaceutical, Healthcare and Medical Sales"
Id-1739,Clinical Research
Id-1740,Manufacturing & Operations
Id-1745,"Pharmaceutical, Healthcare and Medical Sales"
Id-1747,Clinical Research
Id-1749,Clinical Research
Id-1752,"Pharmaceutical, Healthcare and Medical Sales"
Id-1754,Clinical Research
Id-1758,Clinical Research
Id-1759,"Pharmaceutical, Healthcare and Medical Sales"
Id-1761,"Pharmaceutical, Healthcare and Medical Sales"
Id-1762,"Pharmaceutical, Healthcare and Medical Sales"
Id-1763,"Pharmaceutical, Healthcare and Medical Sales"
Id-1770,"Pharmaceutical, Healthcare and Medical Sales"
Id-1773,"Pharmaceutical, Healthcare and Medical Sales"
Id-1775,Clinical Research
Id-1776,"Pharmaceutical, Healthcare and Medical Sales"
Id-1777,Clinical Research
Id-1779,"Pharmaceutical, Healthcare and Medical Sales"
